author,category,description,name,price,priceCurrency,ratingValue,pert_alcohol
Davin de Kergommeaux,Canadian,"
Corby’s latest Lot 40, this one undated, comes from the same distillation batch as the 2012 release, but with a couple of extra years in wood. The familiar flavors are all there: dustiness, sour rye, hard wet slate, floral notes, exotic fruits, sweet spices, and biting white pepper. Over these, time has sprinkled licorice root, dried dates, oatmeal porridge, vanilla, hints of bike tires, and mango peels. Flavors remain fully integrated with faint tannins underscoring a long sour-rye finish. Value Pick.","Lot No. 40, 43%",40.0,$,94,43.0
John Hansell,Blended Malt Scotch Whisky,"
The formula for this whisky has changed slightly since its inception -- and I think for the better. They've added some Laphroaig into the mix of Caol Ila and Ardmore. This whisky demonstrates the layered complexity that can be achieved by marrying whisky from different distilleries and different regions. I particularly enjoy the rich maltiness and oily texture that provide firm bedding and flavor contrast to the classic Islay notes: tar, boat docks, brine, smoked olive, seaweed, and kiln ash. More subtle cracked peppercorn, mustard seed, and citrus fruit add complexity. Long, warming finish. Amazing how a small change in composition can significantly benefit the overall flavor profile of a whisky.","Compass Box The Peat Monster, 46%",60.0,$,94,46.0
Gavin Smith,Single Malt Scotch,"
Just 160 bottles of 1972 Brora are available through UK World of Whiskies and World Duty Free Group stores. The oldest bottling of Brora to date was distilled using heavily-peated malt. A big hit of oily peat on the early nose, with malt, dried fruit, and black pepper. Mildly medicinal. The palate yields bonfire ash, licorice, honey, more pepper, and well-integrated oak. The finish is long, with peat smoke, plain chocolate, and tannins lingering in harmony. Complex and rewarding. £7,000","Brora 40 year old Single Cask 1972 Vintage, 59.1%",11824.0,$,94,59.1
John Hansell,Bourbon/Tennessee,"
Antique amber color. Mature aromas of candied fruit, ripe berries, and black currants, nicely interwoven with toffee, dates, vanilla, and almonds. Reminiscent of aromas found in a candy shop. Fairly rich body, and smooth. Nice balance of flavors, witha gentle sweetness and oaky dryness throughout. An even-keeled whiskey. There are notes of candied fruit, ripe berries, vanilla, marzipan, and dates, with suggestions of sweet corn, vanilla, charcoal, and cinnamon. Becoming dry with a mature finish. 
","W. L. Weller, 19 year old, 1982, 45%",38.0,$,94,45.0
Jonny McCormick,Indian Whisky,"
Rejoice! Those greedy angels have left sufficient liquid behind in the Amrut warehouse for a new release. Chocolate ganache, dark fudge, rye bread, toasted fennel seed, overripe mango, lavender, and parma violet aromas. It’s divine: chocolate brownie, orange peel, espresso, bramble, candied fruit jellies, toffee, and blackened oak, with a finish of fruity chocolate. Repay such celestial avarice by acquiring some of this heavenly whisky for yourself. (180 bottles for the U.S.)","Amrut Greedy Angels 8 year old, 50%",285.0,$,94,50.0
John Hansell,Bourbon/Tennessee,"
A clean, well-rounded bourbon packed with flavor. Deep amber, with tinges of gold. Rich, silky aromas, with thickly textured, seamless flavors on the palate. Incredibly smooth, too, with interwoven notes of toffee, molasses, creamy vanilla, and candy corn. Underlying lush fruit, cinnamon, and fresh mint -- especially on the finish -- round everything out. Some of the previous “extra matured” Wild Turkey whiskeys have occasionally shown their age on the finish, being a little heavy on the oak. Not this one. Nicely done.","Wild Turkey American Spirit, 15 year old, 50%",90.0,$,94,50.0
John Hansell,Bourbon/Tennessee,"
A special bottling of Wild Turkey to celebrate Master Distiller Jimmy Russell’s 50 years of being in the bourbon business. Jimmy will be proud to be associated with this bottling. In many ways, this bourbon is a lot like Jimmy: mature, yet with plenty of spunk and character, and a pure joy to be with. This is a big, chewy, full-bodied bourbon with lovely sweet notes (maple syrup, molasses, caramel and candied fruit) balanced by dry spice notes (cigars aged in cedar, evergreen, polished leather). For bourbon drinkers who love intensity in their bourbon. 
","Wild Turkey Tribute, 15 year old, 50.5%",90.0,$,94,50.5
Jonny McCormick,Blended Malt Scotch Whisky,"
An incredibly complex creation using stock from Diageo’s 28 operational single malt distilleries, this has minted toffee, gummy bears, raw gooseberry, fresh whole grain bread, and earthy spices shaken over sweet banoffee pie. Rich fruit, cocoa, granular white chocolate, dark citrus, waxy caramel bars, nutmeg, cinnamon, and bitter dark chocolate. Water stimulates green fruit notes. A beautiful sugared almond note materializes with sweet fudge and dried apple dipped in chocolate. £125","Collectivum XXVIII (Diageo Special Releases 2017), 57.3%",164.0,$,94,57.3
Dominic Roskrow,Single Malt Scotch,"
This is the first time I’ve been up for reviews here so I had a game plan: play it cool, mark tightly, let everyone know I’m hard to please. Then they gave me this, the whisky equivalent to front row tickets to Neil Young on his current Twisted Road tour: not just a chance to get up close and personal with an old favorite, but to do so with an old favorite who’s on fire. Laphroaig’s owners are intent on ensuring a big peaty engine for any new release, but this is a monster by anyone’s standards. It’s essentially Quarter Cask finished in oloroso sherry casks, so in addition to the intense charcoal smoke attack there are rich fruity notes; blackcurrant and berries. It’s an evening barbecue whisky. Grill that fish until it’s blackened and crispy, drizzle on lemon, and as the smoke rears up in protest, sip this. Big, moody, broody, fruity, and rich: what’s not to love? (Travel Retail and some European specialist retailers)","Laphroaig Triple Wood, 48%",100.0,$,94,48.0
Jonny McCormick,Blended Scotch Whisky,"
The pinnacle of the current Johnnie Walker range, this is a rare, inimitable blend of just nine whiskies. It exudes the aromas of ripe bananitos, whole mango, satsuma, vanilla seeds, barley awns, butter biscuits, and crystallized pineapple. The supple grain sustains indulgent, characterful malts creating a weighty, smooth mouthfeel. I’m smitten by the vanilla creaminess, burgeoning deep fruit layers, how it swells with a satisfying snuffbox smokiness. A beautifully styled blend delivering a captivating, sensuous experience. (330 bottles only)","The John Walker, 40%",3500.0,$,94,40.0
Fred Minnick,Bourbon/Tennessee,"
Here, a perfect harmony delivers crème brûlée, butterscotch, fruit, cinnamon, and rising cornbread. Right away complexity sets in, delivering salted baked almonds, cashews, dried apricot, pistachio gelato, Nutter Butters, salted caramel popcorn, rye toast with brown sugar butter, and sugarcane. Somehow, a drop of water makes it even more complex, amplifying the butterscotch and presenting cinnamon-soaked roasted pecans and almonds. Pure bliss; a must-sip.","Elijah Craig Barrel Proof (Batch A117), 63.5%",60.0,$,94,63.5
John Hansell,Single Malt Scotch,"
I like this Bowmore better than all the previous bourbon oak-aged, ultra-mature Bowmore whiskies that have been released over the past fifteen years (there have been several). The oak is always present, but not dominant. The whisky really evolves on the palate, just like the Black Bowmore releases. This emphasis here is on fruit, bright fruit: peach, tangerine, mango, ripe melon, and pineapple. There’s a soft, gentle side to the whisky, too, enhanced by sweeter notes of pancake syrup, orange creamsicle, and white chocolate. Heavy oak notes emerge, along with teasing, earthy smoke, to give the whisky depth and bottom notes. The smoke and oak linger long on the finish. Very contemplative. In short, an outstanding whisky, but not quite reaching the excellence of Black Bowmore. 
   (Allocation information: 732 bottles available worldwide; 40 bottles are being allocated for the U.S., half of the quantity of Black Bowmore which was released earlier this year.)
","White Bowmore, 1964 vintage, 43 year old, 42.8%",6000.0,$,94,42.8
John Hansell,Grain Scotch Whisky,"
A really stunning grain whisky. So rich for a grain whisky, with no excessive oak. Lipsmacking notes of vanilla cream, coconut custard, ripe banana, sticky toffee pudding, rhum agricole, and delicate honeycomb. The flavors are clean, deep, nicely integrated and complex. Single malt drinkers take note: this whisky will change your opinion of grain whisky forever! (A Park Avenue Liquor exclusive.) 
","Duncan Taylor (distilled at Invergordon), 40 year old, 1965 vintage, 49.7%",225.0,$,94,49.7
Gavin Smith,Single Malt Scotch,"
This is the 13th annual release of Brora, which has been aged in refill American oak and refill European oak casks. Hessian and hemp on the early nose, with a whiff of ozone, discreet peat, and old tar. Fragrant and fruity notes develop, with ripe apples, and a hint of honey. The palate is waxy, sweet, and spicy, with heather and ginger. Mildly medicinal and smoky. Dries steadily in the finish to aniseed, black pepper, dark chocolate, and fruity tannins. (2,964 bottles)","Brora 1978 35 year old (Diageo Special Release 2014), 48.6%",1250.0,$,94,48.6
Davin de Kergommeaux,Canadian,"
The first expression of the Crown Royal Noble Collection was our Canadian Whisky of the Year in 2016 and this one outdoes the original. This release features the standard Crown Royal Fine De Luxe finished in cabernet sauvignon barrels.  To an already complex blend of vanilla, delicate flowers, and fruits, add canned peach syrup, pears, and white plums, with smoldering pepper and grape skin tannins on the finish.","Crown Royal Noble Collection Wine Barrel Finished, 40.5%",60.0,$,94,40.5
Jonny McCormick,Blended Scotch Whisky,"
Named after the gun rounds fired on Royal anniversaries at the Tower of London. Heightened sherry tones with dark Madagascar chocolate, Brazil nut, fondant cream, and faint espresso indulge the nose. One heavenly sip reveals a velvety smooth whisky, thick and sticky, all revolving around the chocolate and nut, with a little support from dark fruits. You can chew over this for hours as the finish soft-pedals the main themes. A work of genius.","Royal Salute 62 Gun Salute, 43%",3000.0,$,94,43.0
Jonny McCormick,Blended Scotch Whisky,"
The nose has honey, caramelized apples, Pixy Stix, pears in cream, faint pepper, ground coriander, and salty driftwood. It’s teeth-coating with golden syrup sugariness, the silky texture meting out pears, apples, sweet barley notes, and crunchy spices, before a vanilla phase gives way to black pepper, licorice, and smoke. Mouth-numbing finish of long-active spices over vanilla. (7,908 bottles)","Compass Box Phenomenology, 46%",180.0,$,94,46.0
Dominic Roskrow,Irish Single Pot Still,"
Wow! Could this be the greatest comeback since Rocky climbed back in the ring and showed the young upstarts who was the boss? It’s taken Irish Distillers a long time to respond to the pounding it’s taken from Cooley but it’s back in the ring with two wonderful pot still whiskeys. This is the better of the two, a whopping oily, woody package of classic pot still Irishness. The green fruits tumble over tannin and spice like frisky puppies. €55 (Currently not available in the U.S.)Editor's Choice","Powers John’s Lane, 46%",75.0,$,94,46.0
John Hansell,Bourbon/Tennessee,"
Distilled in 2003. Weller is the only wheated bourbon in the Collection, with wheat replacing the rye found in most other bourbons. It’s a very impressive representation, too. Notes of nutty toffee, black raspberry, blueberry, green tea, cinnamon, and vanilla. Soft, lingering oak on the finish. Like last year’s release, this is a soothing whiskey with a gentle demeanor. Buffalo Trace Antique Collection 2016. Editor's Choice.","William Larue Weller, 67.7%",90.0,$,94,67.7
John Hansell,Single Malt Scotch,"
Rummy molasses and toffee sweetness intertwine with roasted nuts and bright, juicy fruit. Suggestions of fig, lavender, leather, and tobacco throughout, with a hint of peat and polished oak on the finish. Not quite as refined as the Highland Park 18 year old, but it makes up for this with its dynamic personality. A delicious ultra-mature, sherry cask-aged whisky. (A Binny’s Beverage Depot exclusive.) 
","Highland Park, 34 year old, 1971 vintage (Cask #8363), 53%",325.0,$,94,53.0
John Hansell,Single Malt Scotch,"
This limited edition bottling consists of a marriage of both European and American oak. Still lively for its age, and beautifully balanced. Bountiful golden fruit (sultana, pineapple upside down cake, tangerine, overripe nectarine) balanced by soothing, creamy vanilla. A peppering of dried spice, chamomile tea, toasted oak, cigar box, and subtle smoke round out the palate. Soft and seductive. (Not available in the U.S.)£2,250","Highland Park, 1970 vintage, 48%",3500.0,$,94,48.0
John Hansell,Single Malt Scotch,"
A delicious, well-balanced, ultra-matured expression of Highland Park. Toffee apples, molasses, and vanilla fudge provide a sweet foundation, with evolving notes of dark chocolate, dry spicy oak, tobacco, subtle smoke, and lingering brine on the finish. Nicely done. (Bottled for Old Oaks Cigar & Wine Company) 
","Highland Park, Cask #7957, 1977 vintage, 29 year old, 48.5%",300.0,$,94,48.5
John Hansell,Single Malt Scotch,"
An essay in elegance. Silky and soft in texture, and very clean. Notes of peaches and cream, vanilla wafer, soft honey and fruit gum drops. Subtler notes of tropical fruit (pineapple, lemon, coconut), demerara sugar, heather, and anise. Polished oak adds structure and contrast, with a very elegant finish. Hard to believe this whisky is 32 years old. It's lighter and more elegant than the equally splendid Highland Park 30 year old, which I rated a 94 in the last issue. (Bottled exclusively for Park Avenue Liquors.)","Highland Park, 32 year old, 1973 Vintage, Cask #8375, 41.3%",350.0,$,94,41.3
John Hansell,Single Malt Scotch,"
An exemplary Highland Park. There's certainly plenty of sherry influence in this whisky and it is complementary. (About 2/3 of the whisky was aged on sherry casks, and a lot of these casks were second fill.) The whisky enjoys a delicious foundation of toffee, fruit (lemon, plum, blueberries) and dark chocolate. It continues to develop and evolve on the palate, with emerging notes of heather, nougat, lavender, delicate peat and complex dried spice (especially cinnamon and nutmeg) to balance the sweeter notes. The extra alcohol is also a bonus, providing a drying balance to the whisky's sweetness. Whiskies like this one remind me why I fell in love with whisky in the first place.","Highland Park 30 Year Old, 48.1%",350.0,$,94,48.1
John Hansell,Single Malt Scotch,"
Very spicy and complex, with incredible depth. Once again, this 30-plus year old whisky proves the aging ability of Balvenie. Still quite vibrant and invigorating for such maturity. The classic Balvenie honey note is there, but more reserved, along with graham cracker, vanilla wafer, citrus peel, raspberry (red and black), nectarine, and polished oak. Long, spicy finish. Another outstanding Balvenie Vintage Cask. Although, I look at the price and remember how shocked I was when the Balvenie vintages were selling for $400.","The Balvenie Vintage Cask 1976 vintage, 53%",800.0,$,94,53.0
John Hansell,Irish,"
Deep amber color with shade of ruby. Sweet aromas of ripe fruit, oak, caramelized sugar, rum, and creamy vanilla. Full in body for an Irish whiskey, with a silky, creamy texture. Voluptuous flavors of burnt sugar, rum, honeyed fruit, creamy vanilla, and spice cake.
   Style: Irish pure pot still whiskey.Price: approximately $600. Extremely limited availability-around 400 bottles for the United States. 
   Here's a whiskey the blends the old with the new. The whiskey was distilled at the old Midleton distillery, which has been dismantled. After spending most of its life in sherry and bourbon casks, it was then finished off in port pipes. It maintains its Irish-ness, its pot still character is both satisfying and reassuring, and the port pipe aging introduces flavors that make the whiskey very intriguing. An outstanding product!","Midleton 175th Anniversary Bottling, 26 year old, 40%",600.0,$,94,40.0
Davin de Kergommeaux,Rye Whiskey,"
A seamless fusion of rain-moistened earth, gunnysacks, and searing white pepper underpins the delicately bitter grain-like notes of fresh-baked rye bread. Lilacs and violets speak of rye grain, as do delicate cloves and tingling ginger, while dark stewed fruits attest to age. A mingling of hand-selected barrels of 10 year old all rye whisky, Masterson’s is redolent of vintage car leather and kiln-dried burley tobacco, with touches of dry herbs and spearmint. Sweet vanilla envelops early butterscotch.","Masterson’s Straight Rye, 45%",70.0,$,94,45.0
Geoffrey Kleinman,Single Malt Scotch,"
From the nose you can tell this is a special whisky, with old, dark, lacquered wood, dusty cigar box, and sea salt combined with dark sweet cherry and a hint of rancio. On the palate it gets even better, with lush, dark cherry perfectly balanced and integrated with oak spice, salt, and peat smoke. There’s clear rancio in the center of it all that's utterly delicious. This stunner finishes with a long, slightly spicy, and entirely lovely finish. (Park Avenue Liquor only)","Scotch Malt Whisky Society Hunting Hound on Holiday 4.180 24 year old 1989, 51.3%",225.0,$,94,51.3
John Hansell,Rye Whiskey,"
Incredibly soft and mellow for a rye whiskey, with no signs of excessive oak. This whiskey is obviously of the same pedigree as the Willett Rye 22 year old bottling reviewed here a year ago. It’s another impressive whiskey. Light toffee, nougat, and rummy notes are accentuated by crisp mint, cinnamon, nutmeg, and Earl Grey tea. Pristine on the palate, with lingering cinnamon warmth on the finish. A polished whiskey, with surprising subtlety and finesse. At 137 proof, it’s like getting a third of a bottle free!","Willett Rye, Barrel #2, 23 year old, 68.5%",175.0,$,94,68.5
John Hansell,Single Malt Scotch,"
Cask #3524 is darker, with notes of sticky toffee pudding and chewy caramel that firmly support the polished leather, cigar box, roasted chestnut, smoked seaweed, tar, dark chocolate, and, on the finish, espresso. A meditative whisky. Price listed includes entire Double Barrel 1974 Vintage set.","Ardbeg 1974 Vintage (Cask #3524), 49.9%",,$,94,49.9
John Hansell,Bourbon/Tennessee,"
This new single barrel expression of Knob Creek tastes very similar to the original “small batch” Knob Creek (when brought down to the same alcohol level). If anything, it’s slightly drier, more elegant, not as heavy on the palate, and more sophisticated — but I am reaching here. The similarity is a good thing, because I really enjoy the original expression. Keeping in mind that no two barrels are exactly alike, your decision to purchase the single barrel might just come down to whether you want to pay a little more for a higher strength version, and whether knowing that it might taste a little different than the standard small batch bottling excites you. This is a stylish, big, broad-shouldered bourbon with a thick, sweet foundation (nutty toffee, pot still rum, maple syrup) peppered with spice (cinnamon, but also vanilla and evergreen) and dried fruit. Dry, warming, resinous finish. (Incidentally, I would rate the small batch within a point or two, and the tasting notes would be very similar.)","Knob Creek Single Barrel, 9 year old, 60%",40.0,$,94,60.0
Fred Minnick,Rye Whiskey,"
This sings a tune of balance, with caramel, coconut, chocolate, barrel char, and campfire smoke harmonizing at the opening. Next comes an amazingly complex series of herbal notes: dill, oregano, and thyme. That’s when cinnamon bread, coffee, and crème brûlée take over; each note super concentrated and rounded. The long finish presents a hint of cinnamon. This is a must-have sipper. (450 bottles)","Redemption 18 year old Straight Rye, 54.95%",400.0,$,94,54.95
John Hansell,Blended Scotch Whisky,"
Drier than the 12 year old (reviewed below), with some darker fruit (black raspberry, blueberry) marrying with the brighter orchard fruit.  Sweet up front - honey and caramel - with a peppering of spice (dried vanilla, clove, and cinnamon) increasing as the palate develops.  Dry, oak spice finish.  Lovely! 
","The Antiquary, 21 year old, 43%",100.0,$,94,43.0
Dominic Roskrow,Taiwanese Whisky,"
This is the pick of the bunch, the whisky equivalent of Fountains of Wayne; an effervescent dessert whisky, which from the first aroma to the final finish is a consistent mix of vanilla, coconut, and overripe banana, sprinkled with icing sugar and cinnamon.","Kavalan Solist Ex-Bourbon Cask, 57.1%",100.0,$,94,57.1
John Hansell,Bourbon/Tennessee,"
Surprisingly reserved on the oak spice; it tastes like a bourbon half its age. Soothing in nature, with layers of sweetness (honey, vanilla cream, caramel, nougat), lively complex fruit (coconut, pineapple, ripe peach, honeydew melon), and gentle cinnamon. Soft, creamy finish. A whiskey that has aged very gracefully. Delicious! (This is a single barrel; every barrel is unique.)","Elijah Craig 21 year old Single Barrel (No. 42), 45%",140.0,$,94,45.0
John Hansell,Single Malt Scotch,"
A combination of three sherry butts and seven bourbon casks. This is a complex, dynamic whisky, loaded with lush, layered ripe fruit (red berries, tropical fruit, honeyed apricot, raisin), toffee, oak resin, polished leather, and well-defined spice notes (cinnamon, vanilla, nutmeg, clove). Long, warming finish. (Exclusive to the U.S.)","The Balvenie Tun 1401 (Batch #3), 50.3%",250.0,$,94,50.3
Gavin Smith,Single Malt Scotch,"
Single cask Aberfeldy bottlings are very few and far between, and this is a stunner! After hogshead maturation the whisky ultimately underwent a period of finishing in an ex-sherry cask prior to bottling. The nose offers sultanas, raisins, and hot chocolate. Developing vanilla and a hint of over-ripe bananas. Finally, burnt sugar and caramel. Insinuating and syrupy on the palate, with apricots, dried fruits, honey, and sherry. Gently spicy and warming, with licorice in the notably long finish. £115","Aberfeldy 14 year old Single Cask, 58.1%",181.0,$,94,58.1
John Hansell,Bourbon/Tennessee,"
No age statement, but distilled in 2000. A great value if you can find it for $80. An aggressive whiskey, but complex too, showing toffee, nougat, dates, black raspberry, dark chocolate, and resinous oak. Leather and tobacco on the finish. Masculine and exciting. Buffalo Trace Antique Collection 2015 Release.","George T. Stagg, 69.1%",80.0,$,94,69.1
John Hansell,Bourbon/Tennessee,"
Often overlooked in this portfolio because it isn’t barrel proof. The last few years of this bourbon have been wonderful. This year is no exception, with a bit more spice. Notes of nutty toffee, caramel, creamy vanilla, and pot still rum, with interwoven hints of oak resin, dried spice, tobacco, and honeyed fruit. Hint of barrel char and anise for intrigue. Delicious! (And actually 19 years old, even though it bears the traditional 17 year age statement.) Buffalo Trace Antique Collection 2013 Release.","Eagle Rare 17 year old (bottled Spring 2013), 45%",70.0,$,94,45.0
Jonny McCormick,Blended Scotch Whisky,"
An auld alliance renewed, this gorgeous whisky packs spicy aromas of peppercorn, star anise, and cardamom seeds, mingling with toffee squares, plum jam, dunnage earth, and dried sprigs of heather. Rich fruitcake, jellied fruit, and bramble, then spices course through the mouth: chili heat, black pepper, and raw ginger. Final phase has chocolate praline, growing milky, nutty, and soothing. Exceptional lengthy finish with reignited spices. Chivas 18 goes electric. (Travel Retail exclusive)","Chivas Regal 18 year old Ultimate Cask Collection First Fill French Oak Finish, 48%",120.0,$,94,48.0
John Hansell,Single Malt Scotch,"
The new ultra-mature release, following its 33 year old predecessor (bottled by previous owners). It’s nice to see the higher ABV, given that the 33 year old was only 40%. Very soothing. Quite deep on the nose and viscous (almost sappy) on the palate, with gobs of juicy oak and old oak (its age is obvious but not imposing), dark raisin, black raspberry, orange marmalade, roasted nuts, and freshly roasted coffee beans. All of this is peppered with cinnamon, ginger, and charcoal. Polished leather on the finish. I like that it’s sherried, and the sherry is kept in balance. Those of you who liked the 33 year old will also enjoy this one (assuming you can afford it).","GlenDronach Grandeur, 31 year old, 45.8%",700.0,$,94,45.8
John Hansell,Single Malt Scotch,"
Antique amber. The darkest and most decadent of the four. Quite viscous and soothing, with well-layered notes of apple pie, marmalade, and maple syrup balanced by dried fruits, ginger, polished leather, tobacco, and resinous oak. One to sip and savor very slowly. (This whisky is much better than the last ultra-premium release, the Macallan 55 year old in the Lalique Decanter, and thousands of dollars less.)","The Macallan 1824 Limited Release, 48%",,$,94,48.0
Dave Broom,Single Malt Scotch,"
This is the bomb. Savory and lightly meaty, but sweetened by plum sauce; there’s even some strawberry around the fringes. You could see how with another 30 years this would end up like the ’54. Elegant yet powerful, there’s sandalwood incense, marmalade, even a little dried mango. The distillery’s density is balanced by this fruit. Lush with supple tannins and at its best neat. From a refill butt, this is an exemplary sherried malt. £230","Glenfarclas Family Casks 1987 Cask #3829, 48%",387.0,$,94,48.0
John Hansell,Bourbon/Tennessee,"
Very close to last year’s release in personality, with great balance between the sweetness, spice, and fruit. Nicely structured, with clearly defined notes of toffee, molasses, cinnamon, vanilla bean, dried citrus, brittle mint, roasted nuts, tobacco, and polished leather on the finish. (Editor's Choice)","George T. Stagg, 71.5%",70.0,$,94,71.5
Jonny McCormick,Irish Blended Whiskey,"
Make way. The nose is dense, oily, and mesmeric. There’s vanilla, sure, but it’s the intense aroma of vanilla pods split and scraped at knifepoint. Woven around it, there’s crème caramel and heavier cinnamon flaring at the margins, softening with dilution, but remaining sweet. The first Midleton to carry master distiller Brian Nation’s name is purposeful and assured, lacking some of the sappiness of the 2013 release. This is less about succession, more an emphatic statement of intent.","Midleton Very Rare 2014, 40%",125.0,$,94,40.0
John Hansell,Single Malt Scotch,"
Lush, thick fruit and chewy toffee soothes the assertive notes of earthy peat and leafy bonfire. Underlying smoked nuts, brine, kalamata olives, and tobacco provide continued entertainment. A complex whisky that completely envelops the palate. This is an excellent example of a mature, sherried Bowmore. 
","Signatory (distilled at Bowmore), 35 year old, 1970 vintage, 51.9%",500.0,$,94,51.9
John Hansell,Single Malt Scotch,"
Another of the Fine Oak series (aged in both bourbon and sherry casks), which will debut in the U.S. in March. Of the five Fine Oak expressions that will be in the U.S. (10, 15, 17, 21, and 30 year old), this is my favorite, slightly besting the 15 year old. Lovely sweet notes (creamy vanilla, light toffee, marshmallow, shortbread, and a kiss of honey) are accompanied by bright fruit (multi-layered citrus) and potpourri of dried spices, along with a hint of nut and wisp of smoke. A very refined and sophisticated whisky.","The Macallan Fine Oak 17 year old, 43%",120.0,$,94,43.0
Dominic Roskrow,Blended Malt Scotch Whisky,"
If you want proof that blended malts can be world class, you'll find it in any bottle of Blue Hanger. Lovingly created by Berry Bros. whisky maker Doug McIvor, every release has been exceptional. Even by the series’ own high standards, this sixth release surpasses itself. The nose is fresh, clean, and citrusy, with wafts of sherry. But there are smoky hints, too. And it's that peaty, earthy note on the palate that gives this release a new dimension, enriching the fruity Speyside sweetness at the whisky's core. The age and quality of the malt asserts itself throughout. This really is stunning stuff. £68","Blue Hanger 6th Release Berry Bros. & Rudd, 45.6%",84.0,$,94,45.6
John Hansell,Bourbon/Tennessee,"
Distilled in 2003. Weller is the wheated bourbon in the Collection, where wheat replaces the rye found in most other bourbons. The sweetness is balanced nicely by a solid peppering of oak spice. Notes of toffee, maple syrup, fig, black raspberry preserve, cinnamon, and vanilla. Lingering oak and polished leather on the finish.","William Larue Weller, 67.3%",80.0,$,94,67.3
John Hansell,Bourbon/Tennessee,"
Aged in slow-growth wood. I love the balance in this whiskey, with all the flavors presented harmoniously. Rather lively for a bourbon approaching 15 years. Notes of bright fruit (peach, kiwi, golden raisin), soft vanilla, crème caramel, lemon meringue, and coconut macaroon, then drying out nicely to a rather sophisticated, cinnamon-tinged, polished oak finish.","Buffalo Trace Experimental Collection, 14 year old, Fine Grain Oak, 45%",47.0,$,94,45.0
Davin de Kergommeaux,Canadian,"
Distilled from 90% rye grain and 10% rye malt, Lot No. 40 boldly mingles the galvanizing piquancy of distilled rye grain with the soaring floral fragrance of malted rye, and a fruitiness born of age. It begins with hard, dusty, earthy rye, and sour rye bread, followed by a trio of baking spices: cloves, nutmeg, and blistering ginger. A farm-tinged sourness fades into citrus fruit with velvet tannins. (Canada only)C$40","Lot No. 40 2012 Release, 43%",40.0,$,94,43.0
John Hansell,Blended Scotch Whisky,"
Well, what have we here? A blend of 50% malt and 50% grain (a very high malt content for a blend), and bottled at 50%, too! The whisky was blended first (very unusual), before being aged in sherry casks for its entire life. Antique amber/chestnut color. Full sherry impact, but never cloying -- the higher alcohol level and grain whisky cut through the sherry and add balance and drinkability. This is a fruity-confection delight, with raisin chutney, fig cake, orange almond scone, and chocolate-covered cherry. Add to the mix richly textured toffee, old oak, polished leather, and a cinnamon-spiced tobacco finish. A rare treat! A great old blend that malt drinkers will embrace.","Black Bull, 30 year old, 50%",200.0,$,94,50.0
Davin de Kergommeaux,Canadian,"
Cask strength Lot No. 40 has been in production at Hiram Walker Distillery for over 75 years for use as flavoring whisky. Finally in bottle, this is more than regular Lot No. 40 amped up. New notes of halva, pansies, blistering spices, tropical fruits, minty candy canes, and peanut skins are layered over the lilacs, rye bread, dark fruits, and slatey rye of its 43% standard release. Long, glowering finish.","Lot No. 40 12 year old Cask Strength, 53.1%",60.0,$,94,53.1
Dave Broom,Single Malt Scotch,"
There’s precious little reticence about this beast, which leaps out of the glass blowing peat smoke everywhere — then comes raffia, Lapsang Souchong tea, seashore, wet rocks, Elastoplast, talcum powder, bog myrtle (laurel), vetiver, and the aromas of a just-expunged peat bonfire with apples baking on it. Huge and complex, in other words. The palate starts with a fug of smoke being belched at you (non-peat freaks look away, now) then distinct saltiness enlivens the tongue before everything plunges down; intense sweetness takes charge for a moment before it shifts into charred creosoted timbers. This begs for some water, and when it’s added, out comes sandalwood and peat smoke and tar and an orris root-like character — it’s not often I get gin-like notes on Lagavulin, but it’s here — which rolls over you as you roll over and succumb to its power. After this year’s sublime distillery-only bottling, it’s clear that Lagavulin is in a real purple patch. Superb.","Lagavulin 12 year old, 56.5%",109.0,$,94,56.5
John Hansell,Single Malt Scotch,"
The sixth and last bottling from the Legacy series. Legacy 6 is a marriage of six casks from 1965, 1970, and 1972. Soft and mellow on the nose and palate, with unbelievably restrained oak for such a mature whisky. Delicious notes of coconut, soothing vanilla, caramel custard, and banana cream, peppered with spice notes of cinnamon, mint, and teaberry that emerge on a soft finish that fades out gently. A fitting end to the Legacy series. I’m sad to see them go. 
","Bruichladdich Legacy 6, 34 year old, 41%",550.0,$,94,41.0
Jonny McCormick,Blended Scotch Whisky,"
Jaw-dropping: Aberlour 1973, Bunnahabhain 1968 and 1969, Bowmore 1968, Caperdonich 1972, Glen Grant 1974, Glenfarclas 1966, Glenlivet 1968 and 1970, Highland Park 1967 and 1970, and Macallan 1969. It includes a 14% grain content from Caledonian 1974, Carsebridge 1970, Girvan 1974, Invergordon 1972, Lochside 1966, North of Scotland 1974, and Port Dundas 1973. An elegant, refined mélange of peach, pear, soft oak, and rose cream florals, with dark fruit, chocolate, and fine pepper. Outstanding.","Black Bull 40 year old 7th release, 47.6%",1400.0,$,94,47.6
